individual_id,name,ssn4,dob,on_leie,leie_reason,leie_date
IND-C0049,Della Frost,4770,1971-01-03,False,,
IND-C0050,Sam Pratt,3183,1957-01-01,False,,
IND-C0051,Sam Boyd,8376,1958-07-14,False,,
IND-C0052,Nadia Voss,5191,1985-04-29,False,,
IND-C0053,Paul Udall,9291,1988-11-20,False,,
IND-C0054,Gina Marsh,4747,1995-08-05,False,,
IND-C0055,Rosa Hart,6722,1965-12-17,False,,
IND-C0056,Priya Sable,8830,1971-06-05,False,,
IND-C0057,Dana Marsh,3220,1977-08-10,False,,
IND-C0058,Tara Drake,0387,1986-04-17,False,,
IND-C0059,Alan Quill,7633,1987-06-17,False,,
IND-C0060,Della Benoit,3233,1992-04-29,False,,
IND-C0061,Dana Frost,0514,1968-05-07,False,,
IND-C0062,Rosa Lund,2446,1985-06-23,False,,
IND-C0063,Nora Lund,9022,1965-03-15,False,,
IND-C0064,Lena Osei,2856,1962-07-08,False,,
IND-C0065,Paul Benoit,5806,1962-11-04,False,,
IND-C0066,Carl Hune,4925,1967-10-27,False,,
IND-C0067,Dana York,2109,1994-10-26,False,,
IND-C0068,Nadia Sable,1292,1967-09-21,False,,
IND-C0069,Mira Thorpe,4138,1964-10-14,False,,
IND-C0070,Ivy Voss,7475,1981-03-05,False,,
IND-C0071,Cleo Pratt,2943,1967-07-15,False,,
IND-C0072,Nora Roth,7562,1986-07-09,False,,
IND-C0073,Ivy Frost,3095,1964-09-07,False,,
IND-C0074,Lena Ordway,3204,1981-11-24,False,,
IND-C0075,Gina Osei,0401,1988-04-08,False,,
IND-C0076,Kurt Roth,6060,1966-01-08,False,,
IND-C0077,Beau Lund,0947,1993-06-10,False,,
IND-C0078,Carl Boyd,6738,1957-02-11,False,,
IND-C0079,Ivy Ablett,4994,1989-11-04,False,,
IND-C0080,Lena Voss,5271,1993-08-23,False,,
IND-C0081,Priya Ablett,3359,1985-11-05,False,,
IND-C0082,Della Benoit,2710,1967-08-29,False,,
IND-C0083,Sean Marsh,8629,1981-02-21,False,,
IND-C0084,Rex Nolan,8119,1964-01-09,False,,
IND-C0085,Ivy Reyes,0921,1976-08-09,False,,
IND-C0086,Nora Marsh,2919,1983-12-14,False,,
IND-C0087,Maria Drake,2682,1975-11-12,False,,
IND-C0088,Kurt Calder,2904,1984-04-30,False,,
IND-C0089,Beau Lund,0492,1979-07-06,False,,
IND-C0090,Rosa Lund,4241,1968-11-05,False,,
IND-C0091,Mira Hart,8868,1967-01-29,False,,
IND-C0092,Faye Sable,9535,1992-09-30,False,,
IND-C0093,Tara Cross,0293,1962-07-04,False,,
IND-C0094,Gina Thorpe,5445,1983-09-03,False,,
IND-C0095,Jon Pike,1996,1972-08-27,False,,
IND-C0096,Ruth Vance,8421,1956-04-06,False,,
IND-C0097,Carl Cross,1301,1986-05-19,False,,
IND-C0098,Nadia Vance,1100,1969-10-11,False,,
IND-C0099,Ruth Benoit,6804,1990-01-06,False,,
IND-C0100,Neil Drake,8837,1980-05-03,False,,
IND-C0101,Dana Marsh,6723,1958-01-05,False,,
IND-C0102,Mira Pike,0074,1972-03-27,False,,
IND-C0103,Della Udall,3299,1968-03-11,False,,
IND-C0104,Rex Boyd,3042,1994-10-22,False,,
IND-C0105,Priya Hune,1232,1965-12-20,False,,
IND-C0106,Omar Calder,5859,1985-04-30,False,,
IND-C0107,Sean Cross,3621,1973-05-16,False,,
IND-C0108,Leon Hart,7441,1967-06-17,False,,
IND-C0109,Gina Pratt,5856,1966-11-09,False,,
IND-C0110,Priya Frost,8651,1969-05-28,False,,
IND-C0111,Ivy Hune,7028,1965-04-18,False,,
IND-C0112,Ruth Marsh,7094,1981-04-04,False,,
IND-C0113,Rosa Osei,7723,1959-11-14,False,,
IND-C0114,Rosa Kerr,7559,1967-08-25,False,,
IND-C0115,Della Nolan,8601,1993-08-13,False,,
IND-C0116,Della Marsh,7787,1988-07-21,False,,
IND-C0117,Rex Calder,3057,1984-10-22,False,,
IND-C0118,Priya Hart,7485,1955-03-31,False,,
IND-C0119,Grace Lund,3082,1989-04-07,False,,
IND-C0120,Ivy Roth,6463,1956-01-31,False,,
IND-C0121,Lila Ordway,2409,1995-02-24,False,,
IND-C0122,Lena Frost,7429,1972-08-24,False,,
IND-C0123,Nadia Nolan,1776,1965-02-16,False,,
IND-C0124,Omar Marsh,1473,1964-07-15,False,,
IND-C0125,Leon Benoit,4655,1963-03-06,False,,
IND-C0126,Dana Benoit,5952,1980-08-16,False,,
IND-C0127,Otis Boyd,6238,1960-07-05,False,,
IND-C0128,Gina Hune,1356,1957-10-14,False,,
IND-C0129,Dean Ablett,1363,1972-10-13,False,,
IND-C0130,Sam Hune,4959,1977-01-25,False,,
IND-C0131,Neil Ward,4092,1989-08-26,False,,
IND-C0132,Otis Osei,4899,1983-06-19,False,,
IND-C0133,Ivy Gale,4772,1973-08-15,False,,
IND-C0134,Nora Drake,6276,1993-08-16,False,,
IND-C0135,Grace Boyd,6802,1980-06-16,False,,
IND-C0136,Sam Boyd,2024,1990-12-23,False,,
IND-C0137,Priya Benoit,2923,1958-09-24,False,,
IND-C0138,Otis Pike,9737,1969-06-21,False,,
IND-C0139,Gina York,0977,1974-12-03,False,,
IND-C0140,Lila Udall,5546,1973-02-09,False,,
IND-C0141,Priya Vance,7860,1986-01-05,False,,
IND-C0142,Kurt Voss,3193,1962-07-10,False,,
IND-C0143,Gina Boyd,4519,1974-06-07,False,,
IND-C0144,Carl Ablett,2049,1979-11-18,False,,
IND-C0145,Tara Calder,4296,1985-10-20,False,,
IND-C0146,Hugo Roth,0553,1966-04-26,False,,
IND-C0147,Faye Marsh,9796,1966-11-15,False,,
IND-C0148,Dana Osei,8863,1979-12-29,False,,
IND-C0149,Vera Boyd,4790,1962-04-13,False,,
IND-C0150,Rosa Quill,6120,1990-04-30,False,,
IND-C0151,Cleo Lund,8898,1978-03-14,False,,
IND-C0152,Amal Quill,8816,1979-03-08,False,,
IND-C0153,Carl Thorpe,9492,1978-02-12,False,,
IND-C0154,Sean Hart,8399,1960-10-28,False,,
IND-C0155,Lila Reyes,6024,1982-12-02,False,,
IND-C0156,Hugo Pike,4993,1959-02-05,False,,
IND-C0157,Hugo Marsh,6384,1987-01-19,False,,
IND-C0158,Paul Marsh,8043,1963-02-03,False,,
IND-C0159,Vera Reyes,0988,1959-02-19,False,,
IND-C0160,Mira Drake,0559,1959-03-10,False,,
IND-C0161,Lena Benoit,0911,1980-06-14,False,,
IND-C0162,Nora Nolan,9564,1990-10-03,False,,
IND-C0163,Carl Nolan,1024,1961-07-05,False,,
IND-C0164,Dana Voss,5450,1976-08-06,False,,
IND-C0165,Paul Frost,5876,1973-03-06,False,,
IND-C0166,Beau Ordway,9615,1968-11-01,False,,
IND-C0167,Tara Reyes,1233,1966-07-15,False,,
IND-C0168,Hugo Dunmore,4253,1986-09-07,False,,
IND-C0169,Carl Gale,4766,1992-07-07,False,,
IND-C0170,Priya Marsh,5835,1979-02-01,False,,
IND-C0171,Alan Frost,3216,1963-07-15,False,,
IND-C0172,Sean Lund,3815,1992-03-06,False,,
IND-C0173,Vera Ablett,4785,1958-09-05,False,,
IND-C0174,Della Ward,0317,1982-02-21,False,,
IND-C0175,Dana Ordway,2375,1980-08-31,False,,
IND-C0176,Carl Reyes,5763,1986-08-10,False,,
IND-C0177,Lena Nolan,0023,1986-10-18,False,,
IND-C0178,Maria Nolan,7670,1983-05-17,False,,
IND-C0179,Dean Ames,6783,1961-04-26,False,,
IND-C0180,Gina Nolan,4613,1957-10-29,False,,
IND-C0181,Omar Dunmore,7245,1969-12-21,False,,
IND-C0182,Ivy Osei,2988,1963-06-21,False,,
IND-C0183,Vera Thorpe,2620,1985-05-22,False,,
IND-C0184,Lila Reyes,4146,1962-10-06,False,,
IND-C0185,Rosa Thorpe,4188,1962-09-21,False,,
IND-C0186,Tara Kerr,7878,1970-07-29,False,,
IND-C0187,Dean Calder,2975,1994-09-17,False,,
IND-C0188,Rosa Thorpe,0970,1983-11-23,False,,
IND-C0189,Cleo Vance,7828,1995-11-29,False,,
IND-C0190,Dean Marsh,8213,1991-10-14,False,,
IND-C0191,Beau Quill,0895,1981-10-22,False,,
IND-C0192,Sam Roth,3782,1966-09-20,False,,
IND-C0193,Rex Hart,1840,1964-04-25,False,,
IND-C0194,Grace Udall,1748,1983-04-07,False,,
IND-C0195,Grace Calder,5698,1971-09-12,False,,
IND-C0196,Vera Thorpe,4799,1956-03-15,False,,
IND-C0197,Leon Osei,4105,1966-04-04,False,,
IND-C0198,Tara York,5499,1989-10-04,False,,
IND-C0199,Ruth Drake,5017,1993-04-03,False,,
IND-C0200,Alan Hart,0722,1968-06-09,False,,
IND-C0201,Ruth Ablett,0874,1966-08-11,False,,
IND-C0202,Faye Voss,3249,1972-07-21,False,,
IND-C0203,Dana Frost,8675,1985-07-13,False,,
IND-C0204,Neil Quill,3462,1990-11-16,False,,
IND-C0205,Jon Cross,4140,1972-06-04,False,,
IND-C0206,Jon Ablett,7547,1976-04-11,False,,
IND-C0207,Nora Marsh,5484,1982-09-27,False,,
IND-C0208,Nadia Zane,2781,1965-08-23,False,,
IND-C0209,Kurt Voss,9905,1984-10-08,False,,
IND-C0210,Mira Ablett,3694,1990-12-27,False,,
IND-C0211,Otis Ordway,0631,1985-05-01,False,,
IND-C0212,Sean Thorpe,8666,1976-06-05,False,,
IND-C0213,Gina Reyes,6012,1957-11-09,False,,
IND-C0214,Wes Udall,1063,1986-11-13,False,,
IND-C0215,Alan Lund,1932,1995-09-27,False,,
IND-C0216,Hugo Zane,4840,1965-08-24,False,,
IND-C0217,Lila Calder,0347,1967-11-22,False,,
IND-C0218,Amal Gale,0078,1961-05-11,False,,
IND-C0219,Leon Frost,6047,1964-12-25,False,,
IND-C0220,Mira Ordway,9861,1962-03-07,False,,
IND-C0221,Vera Roth,6960,1989-10-19,False,,
IND-C0222,Mira Ordway,8227,1984-06-18,False,,
IND-C0223,Della Osei,9397,1955-03-14,False,,
IND-C0224,Hugo Roth,9835,1961-03-22,False,,
IND-C0225,Omar Zane,9890,1965-05-22,False,,
IND-C0226,Beau Reyes,2135,1984-11-20,False,,
IND-C0227,Alan Nolan,5978,1960-07-08,False,,
IND-C0228,Gina Sable,1683,1980-08-26,False,,
IND-C0229,Nora Osei,9856,1958-03-29,False,,
IND-C0230,Rosa Zane,3117,1964-10-11,False,,
IND-C0231,Ivy Marsh,3325,1987-03-08,False,,
IND-C0232,Leon Cross,7791,1985-09-29,False,,
IND-C0233,Sean Gale,1240,1972-02-13,False,,
IND-C0234,Jon Osei,7260,1967-10-11,False,,
IND-C0235,Amal Gale,9455,1968-12-19,False,,
IND-C0236,Leon Ames,2469,1992-02-15,False,,
IND-C0237,Ruth York,4293,1968-05-28,False,,
IND-C0238,Paul Roth,0896,1964-06-10,False,,
IND-C0239,Sam Calder,4071,1985-11-14,False,,
IND-C0240,Mira Ward,6321,1977-03-03,False,,
IND-C0241,Neil Ward,2671,1968-08-09,False,,
IND-C0242,Paul Nolan,5115,1978-02-25,False,,
IND-C0243,Priya Benoit,8757,1994-06-01,False,,
IND-C0244,Gina Ablett,0175,1970-07-04,False,,
IND-C0245,Beau Ordway,5025,1989-12-03,False,,
IND-C0246,Lila Ames,4708,1964-05-31,False,,
IND-C0247,Neil Ablett,3592,1983-03-30,False,,
IND-C0248,Wes Udall,8205,1957-11-18,False,,
IND-C0249,Dana Osei,5124,1974-03-16,False,,
IND-C0250,Neil Cross,3649,1956-08-20,False,,
IND-C0251,Gina Ablett,2614,1959-03-22,False,,
IND-C0252,Vera Dunmore,4534,1970-09-05,False,,
IND-C0253,Mira Ames,3922,1987-10-07,False,,
IND-C0254,Nadia Benoit,2510,1973-12-07,False,,
IND-C0255,Alan Reyes,6798,1959-11-18,False,,
IND-C0256,Cleo Thorpe,8648,1980-07-26,False,,
IND-C0257,Lena Udall,0409,1986-04-24,False,,
IND-C0258,Gina Zane,6208,1981-05-06,False,,
IND-C0259,Lena Calder,4277,1989-07-21,False,,
IND-C0260,Dana Quill,9825,1974-11-18,False,,
IND-C0261,Carl Sable,4295,1963-08-14,False,,
IND-C0262,Carl York,1223,1991-04-24,False,,
IND-C0263,Ruth Sable,5639,1982-11-29,False,,
IND-C0264,Rosa Nolan,6509,1988-01-16,False,,
IND-C0265,Wes Cross,1179,1974-09-03,False,,
IND-C0266,Rex Udall,2759,1985-01-07,False,,
IND-C0267,Neil Pike,0937,1963-06-06,False,,
IND-C0268,Lila Frost,7999,1981-10-03,False,,
IND-C0269,Nadia Dunmore,5830,1981-11-08,False,,
IND-C0270,Amal Pratt,0908,1980-12-01,False,,
IND-C0271,Rex Vance,3672,1960-03-04,False,,
IND-C0272,Rex Gale,7114,1958-08-20,False,,
IND-C0273,Alan Hune,7246,1987-01-15,False,,
IND-C0274,Hugo Vance,2744,1979-02-17,False,,
IND-C0275,Vera Benoit,8853,1970-09-03,False,,
IND-C0276,Della Zane,2210,1983-11-27,False,,
IND-C0277,Vera Ordway,4784,1956-09-13,False,,
IND-C0278,Rex Quill,4173,1993-06-20,False,,
IND-C0279,Carl Sable,8807,1983-10-11,False,,
IND-MALEN-LEIE,Victor A. Malen,6013,1971-03-02,True,Conviction - health care fraud (DME),2023-09-14
IND-MALEN-HARBOR,Victor A. Malen,6013,1971-03-02,False,,
IND-MALEN-COASTAL,Vic Malen,6013,1971-03-02,False,,
IND-KLINE,Deborah Kline,4759,1991-01-22,False,,
IND-DRAKE,Leon Drake,5202,1990-12-31,False,,
IND-VOSS,Nadia Voss,6131,1955-12-03,False,,
IND-PYNE-LEIE,Gregory Pyne,2691,1966-08-19,True,Exclusion - false claims,2022-06-01
IND-PYNE-CUR,Gregory Pyne,2691,1966-08-19,False,,
IND-MARSH,Della Marsh,8353,1978-04-13,False,,
IND-BEACON,Ruth Ames,4983,1962-11-25,False,,
IND-CLEAR,Paul York,4978,1967-08-16,False,,
IND-MALEN-DECOY,Victor Malen,1963,1988-12-30,False,,
IND-MALEN-P1,V. Malen,6013,1971-03-02,False,,
IND-PSTRAW-1,Ada Bell,4535,1956-09-26,False,,
IND-PSTRAW-2,Cole Dane,1767,1957-10-01,False,,
IND-PSTRAW-3,Erin Fox,9910,1990-06-27,False,,
IND-PSTRAW-4,Gwen Hale,6778,1989-06-18,False,,
